Item_ID,Unit,Smallest_Unit,DisplayName
Raisins,kg,g,"Raisins Secs Sultanine Bio (2,5kg)"
Organic Large Oat Flakes,kg,g,Gros Flocons D'Avoine Bio
Rice,kg,g,Riz Basmati Complet Bio En Vrac (1kg)
Bulgur,kg,g,Boulgour Bio En Vrac (1kg)
Couscous,kg,g,Couscous Complet Bio En Vrac
Spaghetti,kg,g,Spaghettis Demi-Complets Bio (5kg)
Fusilli,kg,g,Fusilli Semi Complètes Bio (5kg)
Millet,kg,g,Graines de Millet Bio En Vrac (1kg)
Polenta,kg,g,Polenta (Semoule de Maïs) Bio (1kg)
Sarassin,kg,g,Sarassin
Chickpeas,kg,g,Pois chiches Bio (5kg)
Green lentils,kg,g,Lentilles Vertes Bio En Vrac
Coral lentils,kg,g,Lentilles Corail Bio (3kg)
Green split peas,kg,g,Pois Cassés Bio (1kg)
White beans,kg,g,Haricots Blancs Bio En Vrac (1kg)
Soy mince,kg,g,Protéines de Soja Gros Morceaux Bio En Vrac
Sunflower seeds,kg,g,Graines de Tournesol Bio En Vrac (500gr)
Chia seeds,kg,g,Graines De Chia Bio En Vrac (500gr)
Flax seeds,kg,g,Graines de Lin Brun Bio En Vrac (500gr)
Sesam,kg,g,Graines de Sésame Bio En Vrac (500gr)
Sugar,kg,g,Sucre Roux Bio En Vrac
Coffee,kg,g,Café en Grains Corsé Afrique Bio et Equitable
Soy sauce,L,mL,Tamari Strong Bio (1L)
Vinaigre Balsamico,L,mL,"Vinaigre Balsamique de Modène IGP
Bio (1L)"
Apple_Cider_Vinegar,L,mL,Apple_Cider_Vinegar
Tomato_Puree,kg,g,"Passata Bio
(1 Jar)"
Sunflower_Oil,L,mL,Sunflower_Oil
Olive_Oil,L,mL,Olive_Oil
Almonds,kg,g,Almonds
Peanuts,kg,g,Peanuts
Amazonian_Nuts,kg,g,Amazonian_Nuts
